,index,i,j,k,l,V_ijkl
0,48,6.0,7.0,0.0,1.0,4.503377
1,56,7.0,6.0,0.0,1.0,4.503377
2,16,2.0,3.0,0.0,1.0,6.501468
3,24,3.0,2.0,0.0,1.0,6.501468
4,32,4.0,5.0,0.0,1.0,6.508258
5,40,5.0,4.0,0.0,1.0,6.508258
6,0,0.0,1.0,0.0,1.0,12.810409
7,8,1.0,0.0,0.0,1.0,12.810409
8,49,6.0,7.0,1.0,0.0,4.503377
9,57,7.0,6.0,1.0,0.0,4.503377
10,17,2.0,3.0,1.0,0.0,6.501468
11,25,3.0,2.0,1.0,0.0,6.501468
12,33,4.0,5.0,1.0,0.0,6.508258
13,41,5.0,4.0,1.0,0.0,6.508258
14,1,0.0,1.0,1.0,0.0,12.810409
15,9,1.0,0.0,1.0,0.0,12.810409
16,50,6.0,7.0,2.0,3.0,4.087395
17,58,7.0,6.0,2.0,3.0,4.087395
18,34,4.0,5.0,2.0,3.0,4.235348
19,42,5.0,4.0,2.0,3.0,4.235348
20,18,2.0,3.0,2.0,3.0,6.337498
21,26,3.0,2.0,2.0,3.0,6.337498
22,2,0.0,1.0,2.0,3.0,6.501468
23,10,1.0,0.0,2.0,3.0,6.501468
24,51,6.0,7.0,3.0,2.0,4.087395
25,59,7.0,6.0,3.0,2.0,4.087395
26,35,4.0,5.0,3.0,2.0,4.235348
27,43,5.0,4.0,3.0,2.0,4.235348
28,19,2.0,3.0,3.0,2.0,6.337498
29,27,3.0,2.0,3.0,2.0,6.337498
30,3,0.0,1.0,3.0,2.0,6.501468
31,11,1.0,0.0,3.0,2.0,6.501468
32,52,6.0,7.0,4.0,5.0,4.095678
33,60,7.0,6.0,4.0,5.0,4.095678
34,20,2.0,3.0,4.0,5.0,4.235348
35,28,3.0,2.0,4.0,5.0,4.235348
36,36,4.0,5.0,4.0,5.0,6.32945
37,44,5.0,4.0,4.0,5.0,6.32945
38,4,0.0,1.0,4.0,5.0,6.508258
39,12,1.0,0.0,4.0,5.0,6.508258
40,53,6.0,7.0,5.0,4.0,4.095678
41,61,7.0,6.0,5.0,4.0,4.095678
42,21,2.0,3.0,5.0,4.0,4.235348
43,29,3.0,2.0,5.0,4.0,4.235348
44,37,4.0,5.0,5.0,4.0,6.32945
45,45,5.0,4.0,5.0,4.0,6.32945
46,5,0.0,1.0,5.0,4.0,6.508258
47,13,1.0,0.0,5.0,4.0,6.508258
48,54,6.0,7.0,6.0,7.0,3.338471
49,62,7.0,6.0,6.0,7.0,3.338471
50,22,2.0,3.0,6.0,7.0,4.087395
51,30,3.0,2.0,6.0,7.0,4.087395
52,38,4.0,5.0,6.0,7.0,4.095678
53,46,5.0,4.0,6.0,7.0,4.095678
54,6,0.0,1.0,6.0,7.0,4.503377
55,14,1.0,0.0,6.0,7.0,4.503377
56,55,6.0,7.0,7.0,6.0,3.338471
57,63,7.0,6.0,7.0,6.0,3.338471
58,23,2.0,3.0,7.0,6.0,4.087395
59,31,3.0,2.0,7.0,6.0,4.087395
60,39,4.0,5.0,7.0,6.0,4.095678
61,47,5.0,4.0,7.0,6.0,4.095678
62,7,0.0,1.0,7.0,6.0,4.503377
63,15,1.0,0.0,7.0,6.0,4.503377
64,112,14.0,15.0,8.0,9.0,4.347019
65,120,15.0,14.0,8.0,9.0,4.347019
66,80,10.0,11.0,8.0,9.0,6.387665
67,88,11.0,10.0,8.0,9.0,6.387665
68,96,12.0,13.0,8.0,9.0,6.394556
69,104,13.0,12.0,8.0,9.0,6.394556
70,64,8.0,9.0,8.0,9.0,12.609142
71,72,9.0,8.0,8.0,9.0,12.609142
72,113,14.0,15.0,9.0,8.0,4.347019
73,121,15.0,14.0,9.0,8.0,4.347019
74,81,10.0,11.0,9.0,8.0,6.387665
75,89,11.0,10.0,9.0,8.0,6.387665
76,97,12.0,13.0,9.0,8.0,6.394556
77,105,13.0,12.0,9.0,8.0,6.394556
78,65,8.0,9.0,9.0,8.0,12.609142
79,73,9.0,8.0,9.0,8.0,12.609142
80,114,14.0,15.0,10.0,11.0,3.943026
81,122,15.0,14.0,10.0,11.0,3.943026
82,98,12.0,13.0,10.0,11.0,4.149201
83,106,13.0,12.0,10.0,11.0,4.149201
84,82,10.0,11.0,10.0,11.0,6.208721
85,90,11.0,10.0,10.0,11.0,6.208721
86,66,8.0,9.0,10.0,11.0,6.387665
87,74,9.0,8.0,10.0,11.0,6.387665
88,115,14.0,15.0,11.0,10.0,3.943026
89,123,15.0,14.0,11.0,10.0,3.943026
90,99,12.0,13.0,11.0,10.0,4.149201
91,107,13.0,12.0,11.0,10.0,4.149201
92,83,10.0,11.0,11.0,10.0,6.208721
93,91,11.0,10.0,11.0,10.0,6.208721
94,67,8.0,9.0,11.0,10.0,6.387665
95,75,9.0,8.0,11.0,10.0,6.387665
96,116,14.0,15.0,12.0,13.0,3.950519
97,124,15.0,14.0,12.0,13.0,3.950519
98,84,10.0,11.0,12.0,13.0,4.149201
99,92,11.0,10.0,12.0,13.0,4.149201
100,100,12.0,13.0,12.0,13.0,6.200484
101,108,13.0,12.0,12.0,13.0,6.200484
102,68,8.0,9.0,12.0,13.0,6.394556
103,76,9.0,8.0,12.0,13.0,6.394556
104,117,14.0,15.0,13.0,12.0,3.950519
