,i,j,k,l,V_ijkl
0,3.0,2.0,2.0,3.0,-6.337498
1,5.0,4.0,2.0,3.0,-4.235348
2,7.0,6.0,2.0,3.0,-4.087395
3,2.0,3.0,3.0,2.0,-6.337498
4,4.0,5.0,3.0,2.0,-4.235348
5,6.0,7.0,3.0,2.0,-4.087395
6,3.0,2.0,4.0,5.0,-4.235348
7,5.0,4.0,4.0,5.0,-6.32945
8,7.0,6.0,4.0,5.0,-4.095678
9,2.0,3.0,5.0,4.0,-4.235348
10,4.0,5.0,5.0,4.0,-6.32945
11,6.0,7.0,5.0,4.0,-4.095678
12,3.0,2.0,6.0,7.0,-4.087395
13,5.0,4.0,6.0,7.0,-4.095678
14,7.0,6.0,6.0,7.0,-3.338471
15,2.0,3.0,7.0,6.0,-4.087395
16,4.0,5.0,7.0,6.0,-4.095678
17,6.0,7.0,7.0,6.0,-3.338471
18,11.0,10.0,10.0,11.0,-6.208721
19,13.0,12.0,10.0,11.0,-4.149201
20,15.0,14.0,10.0,11.0,-3.943026
21,10.0,11.0,11.0,10.0,-6.208721
22,12.0,13.0,11.0,10.0,-4.149201
23,14.0,15.0,11.0,10.0,-3.943026
24,11.0,10.0,12.0,13.0,-4.149201
25,13.0,12.0,12.0,13.0,-6.200484
26,15.0,14.0,12.0,13.0,-3.950519
27,10.0,11.0,13.0,12.0,-4.149201
28,12.0,13.0,13.0,12.0,-6.200484
29,14.0,15.0,13.0,12.0,-3.950519
30,11.0,10.0,14.0,15.0,-3.943026
31,13.0,12.0,14.0,15.0,-3.950519
32,15.0,14.0,14.0,15.0,-3.17917
33,10.0,11.0,15.0,14.0,-3.943026
34,12.0,13.0,15.0,14.0,-3.950519
35,14.0,15.0,15.0,14.0,-3.17917
