,i,j,k,l,V_ijkl
0,0.0,1.0,1.0,0.0,-0.007
1,2.0,3.0,1.0,0.0,-0.007
2,4.0,5.0,1.0,0.0,-0.007
3,2.0,3.0,3.0,2.0,-0.007
4,4.0,5.0,3.0,2.0,-0.007
5,4.0,5.0,5.0,4.0,-0.007
6,6.0,7.0,7.0,6.0,-0.007
7,8.0,9.0,7.0,6.0,-0.007
8,10.0,11.0,7.0,6.0,-0.007
9,12.0,13.0,7.0,6.0,-0.007
10,14.0,15.0,7.0,6.0,-0.007
11,8.0,9.0,9.0,8.0,-0.007
12,10.0,11.0,9.0,8.0,-0.007
13,12.0,13.0,9.0,8.0,-0.007
14,14.0,15.0,9.0,8.0,-0.007
15,10.0,11.0,11.0,10.0,-0.007
16,12.0,13.0,11.0,10.0,-0.007
17,14.0,15.0,11.0,10.0,-0.007
18,12.0,13.0,13.0,12.0,-0.007
19,14.0,15.0,13.0,12.0,-0.007
20,14.0,15.0,15.0,14.0,-0.007
