,i,j,k,l,V_ijkl
0,1.0,0.0,0.0,1.0,-0.4
1,0.0,1.0,1.0,0.0,-0.4
2,2.0,3.0,1.0,0.0,-0.4
3,4.0,5.0,1.0,0.0,-0.4
4,6.0,7.0,1.0,0.0,-0.4
5,1.0,0.0,2.0,3.0,-0.4
6,3.0,2.0,2.0,3.0,-0.4
7,2.0,3.0,3.0,2.0,-0.4
8,4.0,5.0,3.0,2.0,-0.4
9,6.0,7.0,3.0,2.0,-0.4
10,1.0,0.0,4.0,5.0,-0.4
11,3.0,2.0,4.0,5.0,-0.4
12,5.0,4.0,4.0,5.0,-0.4
13,4.0,5.0,5.0,4.0,-0.4
14,6.0,7.0,5.0,4.0,-0.4
15,1.0,0.0,6.0,7.0,-0.4
16,3.0,2.0,6.0,7.0,-0.4
17,5.0,4.0,6.0,7.0,-0.4
18,7.0,6.0,6.0,7.0,-0.4
19,6.0,7.0,7.0,6.0,-0.4
20,9.0,8.0,8.0,9.0,-0.4
21,8.0,9.0,9.0,8.0,-0.4
22,10.0,11.0,9.0,8.0,-0.4
23,12.0,13.0,9.0,8.0,-0.4
24,14.0,15.0,9.0,8.0,-0.4
25,9.0,8.0,10.0,11.0,-0.4
26,11.0,10.0,10.0,11.0,-0.4
27,10.0,11.0,11.0,10.0,-0.4
28,12.0,13.0,11.0,10.0,-0.4
29,14.0,15.0,11.0,10.0,-0.4
30,9.0,8.0,12.0,13.0,-0.4
31,11.0,10.0,12.0,13.0,-0.4
32,13.0,12.0,12.0,13.0,-0.4
33,12.0,13.0,13.0,12.0,-0.4
34,14.0,15.0,13.0,12.0,-0.4
35,9.0,8.0,14.0,15.0,-0.4
36,11.0,10.0,14.0,15.0,-0.4
37,13.0,12.0,14.0,15.0,-0.4
38,15.0,14.0,14.0,15.0,-0.4
39,14.0,15.0,15.0,14.0,-0.4
