,i,j,k,l,V_ijkl
0,0.0,1.0,1.0,0.0,-5.030922
1,2.0,3.0,1.0,0.0,-2.29637
2,4.0,5.0,1.0,0.0,-2.296789
3,0.0,1.0,3.0,2.0,-2.29637
4,2.0,3.0,3.0,2.0,-2.062582
5,4.0,5.0,3.0,2.0,-1.376405
6,0.0,1.0,5.0,4.0,-2.296789
7,2.0,3.0,5.0,4.0,-1.376405
8,4.0,5.0,5.0,4.0,-2.059382
9,6.0,7.0,7.0,6.0,-4.738568
10,8.0,9.0,7.0,6.0,-2.728653
11,10.0,11.0,7.0,6.0,-2.729862
12,6.0,7.0,9.0,8.0,-2.728653
13,8.0,9.0,9.0,8.0,-2.687511
14,10.0,11.0,9.0,8.0,-1.795425
15,6.0,7.0,11.0,10.0,-2.729862
16,8.0,9.0,11.0,10.0,-1.795425
17,10.0,11.0,11.0,10.0,-2.683892
