,i,j,k,l,V_ijkl
0,1.0,0.0,0.0,1.0,-0.067
1,0.0,1.0,1.0,0.0,-0.067
2,2.0,3.0,1.0,0.0,-0.067
3,4.0,5.0,1.0,0.0,-0.067
4,1.0,0.0,2.0,3.0,-0.067
5,3.0,2.0,2.0,3.0,-0.067
6,2.0,3.0,3.0,2.0,-0.067
7,4.0,5.0,3.0,2.0,-0.067
8,1.0,0.0,4.0,5.0,-0.067
9,3.0,2.0,4.0,5.0,-0.067
10,5.0,4.0,4.0,5.0,-0.067
11,4.0,5.0,5.0,4.0,-0.067
12,7.0,6.0,6.0,7.0,-0.077
13,6.0,7.0,7.0,6.0,-0.077
14,8.0,9.0,7.0,6.0,-0.077
15,10.0,11.0,7.0,6.0,-0.077
16,7.0,6.0,8.0,9.0,-0.077
17,9.0,8.0,8.0,9.0,-0.077
18,8.0,9.0,9.0,8.0,-0.077
19,10.0,11.0,9.0,8.0,-0.077
20,7.0,6.0,10.0,11.0,-0.077
21,9.0,8.0,10.0,11.0,-0.077
22,11.0,10.0,10.0,11.0,-0.077
23,10.0,11.0,11.0,10.0,-0.077
