,i,j,k,l,V_ijkl
0,1.0,0.0,0.0,1.0,-0.533
1,0.0,1.0,1.0,0.0,-0.533
2,2.0,3.0,1.0,0.0,-0.533
3,4.0,5.0,1.0,0.0,-0.533
4,1.0,0.0,2.0,3.0,-0.533
5,3.0,2.0,2.0,3.0,-0.533
6,2.0,3.0,3.0,2.0,-0.533
7,4.0,5.0,3.0,2.0,-0.533
8,1.0,0.0,4.0,5.0,-0.533
9,3.0,2.0,4.0,5.0,-0.533
10,5.0,4.0,4.0,5.0,-0.533
11,4.0,5.0,5.0,4.0,-0.533
12,7.0,6.0,6.0,7.0,-0.615
13,6.0,7.0,7.0,6.0,-0.615
14,8.0,9.0,7.0,6.0,-0.615
15,10.0,11.0,7.0,6.0,-0.615
16,7.0,6.0,8.0,9.0,-0.615
17,9.0,8.0,8.0,9.0,-0.615
18,8.0,9.0,9.0,8.0,-0.615
19,10.0,11.0,9.0,8.0,-0.615
20,7.0,6.0,10.0,11.0,-0.615
21,9.0,8.0,10.0,11.0,-0.615
22,11.0,10.0,10.0,11.0,-0.615
23,10.0,11.0,11.0,10.0,-0.615
