,q_i1,q_i2,q_f1,q_f2,V_ffii
0,0.0,1.0,1.0,0.0,-12.79651
1,1.0,0.0,0.0,1.0,-12.79651
2,1.0,0.0,2.0,3.0,-6.56479
3,1.0,0.0,4.0,5.0,-6.52659
4,2.0,3.0,1.0,0.0,-6.56479
5,2.0,3.0,3.0,2.0,-6.38495
6,3.0,2.0,2.0,3.0,-6.38495
7,3.0,2.0,4.0,5.0,-4.24179
8,4.0,5.0,1.0,0.0,-6.52659
9,4.0,5.0,3.0,2.0,-4.24179
10,4.0,5.0,5.0,4.0,-6.35145
11,5.0,4.0,4.0,5.0,-6.35145
12,8.0,9.0,9.0,8.0,-12.59602
13,9.0,8.0,8.0,9.0,-12.59602
14,9.0,8.0,10.0,11.0,-6.4517
15,9.0,8.0,12.0,13.0,-6.41427
16,10.0,11.0,9.0,8.0,-6.4517
17,10.0,11.0,11.0,10.0,-6.25497
18,11.0,10.0,10.0,11.0,-6.25497
19,11.0,10.0,12.0,13.0,-4.15517
20,12.0,13.0,9.0,8.0,-6.41427
21,12.0,13.0,11.0,10.0,-4.15517
22,12.0,13.0,13.0,12.0,-6.22176
23,13.0,12.0,12.0,13.0,-6.22176
