,q_i,q_f,epsilon
0,0.0,2.0,14.716
1,0.0,3.0,14.716
2,0.0,4.0,15.076
3,0.0,5.0,15.076
4,0.0,6.0,22.233
5,0.0,7.0,22.233
6,1.0,2.0,14.716
7,1.0,3.0,14.716
8,1.0,4.0,15.076
9,1.0,5.0,15.076
10,1.0,6.0,22.233
11,1.0,7.0,22.233
12,2.0,4.0,0.36
13,2.0,5.0,0.36
14,2.0,6.0,7.517
15,2.0,7.0,7.517
16,3.0,4.0,0.36
17,3.0,5.0,0.36
18,3.0,6.0,7.517
19,3.0,7.0,7.517
20,4.0,6.0,7.157
21,4.0,7.0,7.157
22,5.0,6.0,7.157
23,5.0,7.0,7.157
24,8.0,10.0,14.561
25,8.0,11.0,14.561
26,8.0,12.0,14.944
27,8.0,13.0,14.944
28,8.0,14.0,21.944
29,8.0,15.0,21.944
30,9.0,10.0,14.561
31,9.0,11.0,14.561
32,9.0,12.0,14.944
33,9.0,13.0,14.944
34,9.0,14.0,21.944
35,9.0,15.0,21.944
36,10.0,12.0,0.383
37,10.0,13.0,0.383
38,10.0,14.0,7.383
39,10.0,15.0,7.383
40,11.0,12.0,0.383
41,11.0,13.0,0.383
42,11.0,14.0,7.383
43,11.0,15.0,7.383
44,12.0,14.0,7.0
45,12.0,15.0,7.0
46,13.0,14.0,7.0
47,13.0,15.0,7.0
