,q_i,q_f,epsilon
0,0.0,0.0,-26.62351
1,0.0,9.0,-26.62298
2,1.0,1.0,-26.62351
3,1.0,8.0,-26.62298
4,2.0,2.0,-11.31725
5,2.0,11.0,-11.31648
6,3.0,3.0,-11.31725
7,3.0,10.0,-11.31648
8,4.0,13.0,-11.30206
9,4.0,15.0,-0.00044
10,4.0,4.0,-11.30283
11,5.0,14.0,-0.00044
12,5.0,12.0,-11.30206
13,5.0,5.0,-11.30283
14,6.0,6.0,-4.22831
15,6.0,15.0,-4.22666
16,7.0,7.0,-4.22831
17,7.0,14.0,-4.22666
18,8.0,8.0,-24.64379
19,8.0,1.0,-24.64329
20,9.0,9.0,-24.64379
21,9.0,0.0,-24.64329
22,10.0,3.0,-9.48084
23,10.0,10.0,-9.48149
24,11.0,11.0,-9.48149
25,11.0,2.0,-9.48084
26,12.0,12.0,-9.46711
27,12.0,5.0,-9.46646
28,13.0,13.0,-9.46711
29,13.0,4.0,-9.46646
30,14.0,7.0,-2.55482
31,14.0,5.0,-0.0001
32,14.0,14.0,-2.55581
33,15.0,6.0,-2.55482
34,15.0,4.0,-0.0001
35,15.0,15.0,-2.55581
