,q_i1,q_i2,q_f1,q_f2,V_ffii
0,1.0,0.0,0.0,1.0,-12.81209
1,3.0,2.0,2.0,3.0,-6.24757
2,5.0,4.0,2.0,3.0,-3.80534
3,7.0,6.0,2.0,3.0,-3.63082
4,3.0,2.0,4.0,5.0,-3.80534
5,5.0,4.0,4.0,5.0,-6.12076
6,7.0,6.0,4.0,5.0,-4.12209
7,3.0,2.0,6.0,7.0,-3.63082
8,5.0,4.0,6.0,7.0,-4.12209
9,7.0,6.0,6.0,7.0,-3.22083
10,9.0,8.0,8.0,9.0,-12.18628
11,11.0,10.0,10.0,11.0,-6.97649
12,13.0,12.0,10.0,11.0,-3.84287
13,15.0,14.0,10.0,11.0,-3.88722
14,11.0,10.0,12.0,13.0,-3.84287
15,13.0,12.0,12.0,13.0,-6.28833
16,15.0,14.0,12.0,13.0,-4.6194
17,11.0,10.0,14.0,15.0,-3.88722
18,13.0,12.0,14.0,15.0,-4.6194
19,15.0,14.0,14.0,15.0,-3.76709
