,q_f1,q_f2,q_i1,q_i2,V_ffii,,,
0,0,1,1,0,-12.81209,,,
1,4,5,1,0,-6.37099,,,
2,6,7,1,0,-4.33386,,,
3,2,3,1,0,-5.93165,,,
4,4,5,3,2,-3.80534,,,
5,2,3,3,2,-6.24757,,,
6,6,7,3,2,-3.63082,,,
7,4,5,5,4,-6.12076,,,
8,6,7,5,4,-4.12209,,,
9,6,7,7,6,-3.22083,,,
10,12,13,9,8,-6.40956,,,
11,10,11,9,8,-6.19159,,,
12,14,15,9,8,-4.77436,,,
13,8,9,9,8,-12.18628,,,
14,12,13,11,10,-3.84287,,,
15,14,15,11,10,-3.88722,,,
16,10,11,11,10,-6.97649,,,
17,12,13,13,12,-6.28833,,,
18,14,15,13,12,-4.6194,,,
19,14,15,15,14,-3.76709,,,
,,,,,,,,
