,i1,isoi1,i2,isoi2,f1,isof1,f2,isof2,V
0,3.0,1.0,4.0,1.0,3.0,1.0,4.0,1.0,-9.945608
1,3.0,1.0,4.0,1.0,3.0,1.0,7.0,1.0,-1.674798
2,3.0,1.0,4.0,1.0,4.0,1.0,8.0,1.0,1.674798
3,3.0,1.0,4.0,1.0,5.0,1.0,6.0,1.0,4.500197
4,3.0,1.0,4.0,1.0,7.0,1.0,8.0,1.0,4.075386
5,3.0,1.0,4.0,1.0,9.0,1.0,10.0,1.0,-5.373267
6,3.0,1.0,4.0,1.0,9.0,1.0,13.0,1.0,-1.526142
7,3.0,1.0,4.0,1.0,10.0,1.0,14.0,1.0,1.526142
8,3.0,1.0,4.0,1.0,11.0,1.0,12.0,1.0,-4.437184
9,3.0,1.0,4.0,1.0,13.0,1.0,14.0,1.0,1.906276
10,3.0,1.0,4.0,1.0,15.0,1.0,16.0,1.0,1.678265
11,3.0,1.0,5.0,1.0,3.0,1.0,5.0,1.0,-1.027724
12,3.0,1.0,5.0,1.0,5.0,1.0,8.0,1.0,-2.327562
13,3.0,1.0,5.0,1.0,9.0,1.0,12.0,1.0,-0.654062
14,3.0,1.0,5.0,1.0,10.0,1.0,16.0,1.0,-0.46595
15,3.0,1.0,5.0,1.0,12.0,1.0,14.0,1.0,0.516049
16,3.0,1.0,5.0,1.0,13.0,1.0,16.0,1.0,-0.347229
17,3.0,1.0,6.0,1.0,3.0,1.0,6.0,1.0,-3.472473
18,3.0,1.0,6.0,1.0,4.0,1.0,7.0,1.0,3.288381
19,3.0,1.0,6.0,1.0,6.0,1.0,8.0,1.0,1.160471
20,3.0,1.0,6.0,1.0,9.0,1.0,11.0,1.0,-1.269679
21,3.0,1.0,6.0,1.0,10.0,1.0,13.0,1.0,-0.347431
22,3.0,1.0,6.0,1.0,11.0,1.0,14.0,1.0,0.338528
23,3.0,1.0,6.0,1.0,12.0,1.0,15.0,1.0,1.871374
24,3.0,1.0,7.0,1.0,3.0,1.0,4.0,1.0,-1.674798
25,3.0,1.0,7.0,1.0,3.0,1.0,7.0,1.0,-0.93373
26,3.0,1.0,7.0,1.0,4.0,1.0,8.0,1.0,0.93373
27,3.0,1.0,7.0,1.0,5.0,1.0,6.0,1.0,-1.167091
