,i1,isoi1,i2,isoi2,f1,isof1,f2,isof2,V
0,3.0,1.0,4.0,1.0,3.0,1.0,4.0,1.0,-10.548557
1,3.0,1.0,4.0,1.0,3.0,1.0,10.0,1.0,-1.097954
2,3.0,1.0,4.0,1.0,4.0,1.0,9.0,1.0,1.097954
3,3.0,1.0,4.0,1.0,5.0,1.0,6.0,1.0,-4.407839
4,3.0,1.0,4.0,1.0,7.0,1.0,8.0,1.0,6.129595
5,3.0,1.0,4.0,1.0,9.0,1.0,10.0,1.0,-3.565626
6,3.0,1.0,5.0,1.0,3.0,1.0,5.0,1.0,-3.916706
7,3.0,1.0,5.0,1.0,4.0,1.0,10.0,1.0,3.526475
8,3.0,1.0,5.0,1.0,5.0,1.0,9.0,1.0,0.911852
9,3.0,1.0,6.0,1.0,3.0,1.0,6.0,1.0,-0.491133
10,3.0,1.0,6.0,1.0,6.0,1.0,9.0,1.0,-1.639453
11,3.0,1.0,7.0,1.0,3.0,1.0,7.0,1.0,-5.409426
12,3.0,1.0,7.0,1.0,4.0,1.0,8.0,1.0,5.409426
13,3.0,1.0,7.0,1.0,7.0,1.0,9.0,1.0,0.41675
14,3.0,1.0,7.0,1.0,8.0,1.0,10.0,1.0,-0.41675
15,3.0,1.0,8.0,1.0,3.0,1.0,8.0,1.0,-0.720169
16,3.0,1.0,8.0,1.0,6.0,1.0,7.0,1.0,-0.194509
17,3.0,1.0,8.0,1.0,8.0,1.0,9.0,1.0,0.071544
18,3.0,1.0,9.0,1.0,3.0,1.0,9.0,1.0,-3.215624
19,3.0,1.0,9.0,1.0,4.0,1.0,6.0,1.0,3.526475
20,3.0,1.0,9.0,1.0,6.0,1.0,10.0,1.0,-0.826721
21,3.0,1.0,10.0,1.0,3.0,1.0,4.0,1.0,-1.097954
22,3.0,1.0,10.0,1.0,3.0,1.0,10.0,1.0,-0.350002
23,3.0,1.0,10.0,1.0,4.0,1.0,9.0,1.0,0.350002
24,3.0,1.0,10.0,1.0,5.0,1.0,6.0,1.0,0.727601
25,3.0,1.0,10.0,1.0,7.0,1.0,8.0,1.0,0.488294
26,3.0,1.0,10.0,1.0,9.0,1.0,10.0,1.0,0.474366
27,3.0,1.0,3.0,2.0,3.0,1.0,3.0,2.0,-1e-06
28,3.0,1.0,3.0,2.0,3.0,1.0,10.0,2.0,-0.000818
29,3.0,1.0,3.0,2.0,4.0,1.0,5.0,2.0,0.000947
30,3.0,1.0,3.0,2.0,6.0,1.0,4.0,2.0,-0.000947
31,3.0,1.0,3.0,2.0,6.0,1.0,9.0,2.0,-0.000235
32,3.0,1.0,3.0,2.0,8.0,1.0,7.0,2.0,4e-06
33,3.0,1.0,3.0,2.0,9.0,1.0,3.0,2.0,0.000826
34,3.0,1.0,3.0,2.0,9.0,1.0,10.0,2.0,-1e-06
35,3.0,1.0,3.0,2.0,10.0,1.0,5.0,2.0,0.000238
36,3.0,1.0,4.0,2.0,3.0,1.0,4.0,2.0,-5.235812
37,3.0,1.0,4.0,2.0,3.0,1.0,9.0,2.0,-0.532642
38,3.0,1.0,4.0,2.0,4.0,1.0,3.0,2.0,5.235812
39,3.0,1.0,4.0,2.0,4.0,1.0,10.0,2.0,0.532642
40,3.0,1.0,4.0,2.0,5.0,1.0,5.0,2.0,-2.183231
41,3.0,1.0,4.0,2.0,6.0,1.0,6.0,2.0,2.183231
42,3.0,1.0,4.0,2.0,7.0,1.0,7.0,2.0,3.014289
43,3.0,1.0,4.0,2.0,8.0,1.0,8.0,2.0,-3.014289
44,3.0,1.0,4.0,2.0,9.0,1.0,4.0,2.0,-0.546812
45,3.0,1.0,4.0,2.0,9.0,1.0,9.0,2.0,-1.753766
46,3.0,1.0,4.0,2.0,10.0,1.0,3.0,2.0,0.546812
47,3.0,1.0,4.0,2.0,10.0,1.0,10.0,2.0,1.753766
48,3.0,1.0,5.0,2.0,3.0,1.0,5.0,2.0,-0.241772
49,3.0,1.0,5.0,2.0,6.0,1.0,3.0,2.0,0.241316
50,3.0,1.0,5.0,2.0,6.0,1.0,10.0,2.0,-0.802055
51,3.0,1.0,5.0,2.0,9.0,1.0,5.0,2.0,0.809214
52,3.0,1.0,6.0,2.0,3.0,1.0,6.0,2.0,-1.94255
53,3.0,1.0,6.0,2.0,4.0,1.0,4.0,2.0,0.000947
54,3.0,1.0,6.0,2.0,4.0,1.0,9.0,2.0,1.73513
55,3.0,1.0,6.0,2.0,5.0,1.0,3.0,2.0,1.941916
56,3.0,1.0,6.0,2.0,5.0,1.0,10.0,2.0,0.44546
57,3.0,1.0,6.0,2.0,7.0,1.0,8.0,2.0,-0.00675
58,3.0,1.0,6.0,2.0,9.0,1.0,6.0,2.0,-0.451421
59,3.0,1.0,6.0,2.0,10.0,1.0,4.0,2.0,-1.750167
60,3.0,1.0,6.0,2.0,10.0,1.0,9.0,2.0,0.002475
61,3.0,1.0,7.0,2.0,3.0,1.0,7.0,2.0,-0.351333
62,3.0,1.0,7.0,2.0,6.0,1.0,8.0,2.0,-0.102702
63,3.0,1.0,7.0,2.0,7.0,1.0,5.0,2.0,0.092862
64,3.0,1.0,7.0,2.0,8.0,1.0,3.0,2.0,0.353648
65,3.0,1.0,7.0,2.0,8.0,1.0,10.0,2.0,0.037139
66,3.0,1.0,7.0,2.0,9.0,1.0,7.0,2.0,-0.02851
67,3.0,1.0,8.0,2.0,3.0,1.0,8.0,2.0,-2.615272
