,q_i1,q_i2,q_f1,q_f2,V_ffii,hf_lvl_i1,iso_i1,hf_lvl_i2,iso_i2,hf_lvl_f1,iso_f1,hf_lvl_f2,iso_f2
0,0.0,1.0,0.0,1.0,-10.548557,3.0,1.0,4.0,1.0,3.0,1.0,4.0,1.0
1,0.0,1.0,0.0,7.0,-1.097954,3.0,1.0,4.0,1.0,3.0,1.0,10.0,1.0
2,0.0,1.0,1.0,6.0,1.097954,3.0,1.0,4.0,1.0,4.0,1.0,9.0,1.0
3,0.0,1.0,2.0,3.0,-4.407839,3.0,1.0,4.0,1.0,5.0,1.0,6.0,1.0
4,0.0,1.0,4.0,5.0,6.129595,3.0,1.0,4.0,1.0,7.0,1.0,8.0,1.0
5,0.0,1.0,6.0,7.0,-3.565626,3.0,1.0,4.0,1.0,9.0,1.0,10.0,1.0
6,0.0,2.0,0.0,2.0,-3.916706,3.0,1.0,5.0,1.0,3.0,1.0,5.0,1.0
7,0.0,2.0,1.0,7.0,3.526475,3.0,1.0,5.0,1.0,4.0,1.0,10.0,1.0
8,0.0,2.0,2.0,6.0,0.911852,3.0,1.0,5.0,1.0,5.0,1.0,9.0,1.0
9,0.0,3.0,0.0,3.0,-0.491133,3.0,1.0,6.0,1.0,3.0,1.0,6.0,1.0
10,0.0,3.0,3.0,6.0,-1.639453,3.0,1.0,6.0,1.0,6.0,1.0,9.0,1.0
11,0.0,4.0,0.0,4.0,-5.409426,3.0,1.0,7.0,1.0,3.0,1.0,7.0,1.0
12,0.0,4.0,1.0,5.0,5.409426,3.0,1.0,7.0,1.0,4.0,1.0,8.0,1.0
13,0.0,4.0,4.0,6.0,0.41675,3.0,1.0,7.0,1.0,7.0,1.0,9.0,1.0
14,0.0,4.0,5.0,7.0,-0.41675,3.0,1.0,7.0,1.0,8.0,1.0,10.0,1.0
15,0.0,5.0,0.0,5.0,-0.720169,3.0,1.0,8.0,1.0,3.0,1.0,8.0,1.0
16,0.0,5.0,3.0,4.0,-0.194509,3.0,1.0,8.0,1.0,6.0,1.0,7.0,1.0
17,0.0,5.0,5.0,6.0,0.071544,3.0,1.0,8.0,1.0,8.0,1.0,9.0,1.0
18,0.0,6.0,0.0,6.0,-3.215624,3.0,1.0,9.0,1.0,3.0,1.0,9.0,1.0
19,0.0,6.0,1.0,3.0,3.526475,3.0,1.0,9.0,1.0,4.0,1.0,6.0,1.0
20,0.0,6.0,3.0,7.0,-0.826721,3.0,1.0,9.0,1.0,6.0,1.0,10.0,1.0
21,0.0,7.0,0.0,1.0,-1.097954,3.0,1.0,10.0,1.0,3.0,1.0,4.0,1.0
22,0.0,7.0,0.0,7.0,-0.350002,3.0,1.0,10.0,1.0,3.0,1.0,10.0,1.0
23,0.0,7.0,1.0,6.0,0.350002,3.0,1.0,10.0,1.0,4.0,1.0,9.0,1.0
24,0.0,7.0,2.0,3.0,0.727601,3.0,1.0,10.0,1.0,5.0,1.0,6.0,1.0
25,0.0,7.0,4.0,5.0,0.488294,3.0,1.0,10.0,1.0,7.0,1.0,8.0,1.0
26,0.0,7.0,6.0,7.0,0.474366,3.0,1.0,10.0,1.0,9.0,1.0,10.0,1.0
27,0.0,8.0,0.0,8.0,-1e-06,3.0,1.0,3.0,2.0,3.0,1.0,3.0,2.0
28,0.0,8.0,0.0,15.0,-0.000818,3.0,1.0,3.0,2.0,3.0,1.0,10.0,2.0
