,q_i1,q_i2,q_f1,q_f2,V_ffii
0,0.0,1.0,0.0,1.0,-12.79651
1,0.0,1.0,2.0,3.0,-6.564794
2,0.0,1.0,4.0,5.0,-6.526591
3,2.0,3.0,2.0,3.0,-6.384953
4,2.0,3.0,4.0,5.0,-4.241792
5,4.0,5.0,4.0,5.0,-6.351454
6,6.0,7.0,6.0,7.0,-12.59602
7,6.0,7.0,8.0,9.0,-6.451704
8,6.0,7.0,10.0,11.0,-6.414267
9,8.0,9.0,8.0,9.0,-6.254971
10,8.0,9.0,10.0,11.0,-4.155168
11,10.0,11.0,10.0,11.0,-6.221756
12,0.0,1.0,0.0,1.0,-12.79651
13,0.0,1.0,2.0,3.0,-6.564794
14,0.0,1.0,4.0,5.0,-6.52659
15,2.0,3.0,2.0,3.0,-6.384954
16,2.0,3.0,4.0,5.0,-4.241791
17,4.0,5.0,4.0,5.0,-6.351453
18,6.0,7.0,6.0,7.0,-12.59602
19,6.0,7.0,8.0,9.0,-6.451704
20,6.0,7.0,10.0,11.0,-6.414267
21,8.0,9.0,8.0,9.0,-6.25497
22,8.0,9.0,10.0,11.0,-4.155169
23,10.0,11.0,10.0,11.0,-6.221757
24,0.0,1.0,0.0,1.0,-12.79651
25,0.0,1.0,2.0,3.0,-6.564794
26,0.0,1.0,4.0,5.0,-6.526591
27,2.0,3.0,2.0,3.0,-6.384954
28,2.0,3.0,4.0,5.0,-4.241791
29,4.0,5.0,4.0,5.0,-6.351453
30,6.0,7.0,6.0,7.0,-12.59602
31,6.0,7.0,8.0,9.0,-6.451704
32,6.0,7.0,10.0,11.0,-6.414267
33,8.0,9.0,8.0,9.0,-6.254971
34,8.0,9.0,10.0,11.0,-4.155169
35,10.0,11.0,10.0,11.0,-6.221756
36,0.0,1.0,0.0,1.0,-12.79651
37,0.0,1.0,2.0,3.0,-6.564794
38,0.0,1.0,4.0,5.0,-6.526591
39,2.0,3.0,2.0,3.0,-6.384954
40,2.0,3.0,4.0,5.0,-4.241791
41,4.0,5.0,4.0,5.0,-6.351453
42,6.0,7.0,6.0,7.0,-12.59602
43,6.0,7.0,8.0,9.0,-6.451704
44,6.0,7.0,10.0,11.0,-6.414267
45,8.0,9.0,8.0,9.0,-6.254971
46,8.0,9.0,10.0,11.0,-4.155168
47,10.0,11.0,10.0,11.0,-6.221756
