,i,j,k,l,V_ijkl
0,0.0,1.0,1.0,0.0,-0.267
1,2.0,3.0,1.0,0.0,-0.267
2,4.0,5.0,1.0,0.0,-0.267
3,2.0,3.0,3.0,2.0,-0.267
4,4.0,5.0,3.0,2.0,-0.267
5,4.0,5.0,5.0,4.0,-0.267
6,6.0,7.0,7.0,6.0,-0.267
7,8.0,9.0,7.0,6.0,-0.267
8,10.0,11.0,7.0,6.0,-0.267
9,12.0,13.0,7.0,6.0,-0.267
10,14.0,15.0,7.0,6.0,-0.267
11,8.0,9.0,9.0,8.0,-0.267
12,10.0,11.0,9.0,8.0,-0.267
13,12.0,13.0,9.0,8.0,-0.267
14,14.0,15.0,9.0,8.0,-0.267
15,10.0,11.0,11.0,10.0,-0.267
16,12.0,13.0,11.0,10.0,-0.267
17,14.0,15.0,11.0,10.0,-0.267
18,12.0,13.0,13.0,12.0,-0.267
19,14.0,15.0,13.0,12.0,-0.267
20,14.0,15.0,15.0,14.0,-0.267
