,i,j,k,l,V_ijkl
0,0.0,1.0,0.0,1.0,3.170767
1,1.0,0.0,0.0,1.0,-3.170767
2,2.0,3.0,0.0,1.0,2.133013
3,3.0,2.0,0.0,1.0,-2.133013
4,4.0,5.0,0.0,1.0,2.034501
5,5.0,4.0,0.0,1.0,-2.034501
6,0.0,1.0,1.0,0.0,-3.170767
7,1.0,0.0,1.0,0.0,3.170767
8,2.0,3.0,1.0,0.0,-2.133013
9,3.0,2.0,1.0,0.0,2.133013
10,4.0,5.0,1.0,0.0,-2.034501
11,5.0,4.0,1.0,0.0,2.034501
12,0.0,1.0,2.0,3.0,2.133013
13,1.0,0.0,2.0,3.0,-2.133013
14,2.0,3.0,2.0,3.0,3.151998
15,3.0,2.0,2.0,3.0,-3.151998
16,4.0,5.0,2.0,3.0,2.061992
17,5.0,4.0,2.0,3.0,-2.061992
18,0.0,1.0,3.0,2.0,-2.133013
19,1.0,0.0,3.0,2.0,2.133013
20,2.0,3.0,3.0,2.0,-3.151998
21,3.0,2.0,3.0,2.0,3.151998
22,4.0,5.0,3.0,2.0,-2.061992
23,5.0,4.0,3.0,2.0,2.061992
24,0.0,1.0,4.0,5.0,2.034501
25,1.0,0.0,4.0,5.0,-2.034501
26,2.0,3.0,4.0,5.0,2.061992
27,3.0,2.0,4.0,5.0,-2.061992
28,4.0,5.0,4.0,5.0,1.671027
29,5.0,4.0,4.0,5.0,-1.671027
30,0.0,1.0,5.0,4.0,-2.034501
31,1.0,0.0,5.0,4.0,2.034501
32,2.0,3.0,5.0,4.0,-2.061992
33,3.0,2.0,5.0,4.0,2.061992
34,4.0,5.0,5.0,4.0,-1.671027
35,5.0,4.0,5.0,4.0,1.671027
36,6.0,7.0,6.0,7.0,3.105794
37,7.0,6.0,6.0,7.0,-3.105794
38,8.0,9.0,6.0,7.0,2.089214
39,9.0,8.0,6.0,7.0,-2.089214
40,10.0,11.0,6.0,7.0,1.961722
41,11.0,10.0,6.0,7.0,-1.961722
42,6.0,7.0,7.0,6.0,-3.105794
43,7.0,6.0,7.0,6.0,3.105794
44,8.0,9.0,7.0,6.0,-2.089214
45,9.0,8.0,7.0,6.0,2.089214
46,10.0,11.0,7.0,6.0,-1.961722
47,11.0,10.0,7.0,6.0,1.961722
48,6.0,7.0,8.0,9.0,2.089214
49,7.0,6.0,8.0,9.0,-2.089214
50,8.0,9.0,8.0,9.0,3.087373
51,9.0,8.0,8.0,9.0,-3.087373
52,10.0,11.0,8.0,9.0,1.987952
53,11.0,10.0,8.0,9.0,-1.987952
54,6.0,7.0,9.0,8.0,-2.089214
55,7.0,6.0,9.0,8.0,2.089214
56,8.0,9.0,9.0,8.0,-3.087373
57,9.0,8.0,9.0,8.0,3.087373
58,10.0,11.0,9.0,8.0,-1.987952
59,11.0,10.0,9.0,8.0,1.987952
60,6.0,7.0,10.0,11.0,1.961722
61,7.0,6.0,10.0,11.0,-1.961722
62,8.0,9.0,10.0,11.0,1.987952
63,9.0,8.0,10.0,11.0,-1.987952
64,10.0,11.0,10.0,11.0,1.590181
65,11.0,10.0,10.0,11.0,-1.590181
66,6.0,7.0,11.0,10.0,-1.961722
67,7.0,6.0,11.0,10.0,1.961722
68,8.0,9.0,11.0,10.0,-1.987952
69,9.0,8.0,11.0,10.0,1.987952
70,10.0,11.0,11.0,10.0,-1.590181
71,11.0,10.0,11.0,10.0,1.590181
