,i,j,k,l,V_ijkl
0,0,1,0,1,0.8
1,1,0,0,1,-0.8
2,2,3,0,1,0.8
3,3,2,0,1,-0.8
4,4,5,0,1,0.8
5,5,4,0,1,-0.8
6,0,1,1,0,-0.8
7,1,0,1,0,0.8
8,2,3,1,0,-0.8
9,3,2,1,0,0.8
10,4,5,1,0,-0.8
11,5,4,1,0,0.8
12,0,1,2,3,0.8
13,1,0,2,3,-0.8
14,2,3,2,3,0.8
15,3,2,2,3,-0.8
16,4,5,2,3,0.8
17,5,4,2,3,-0.8
18,0,1,3,2,-0.8
19,1,0,3,2,0.8
20,2,3,3,2,-0.8
21,3,2,3,2,0.8
22,4,5,3,2,-0.8
23,5,4,3,2,0.8
24,0,1,4,5,0.8
25,1,0,4,5,-0.8
26,2,3,4,5,0.8
27,3,2,4,5,-0.8
28,4,5,4,5,0.8
29,5,4,4,5,-0.8
30,0,1,5,4,-0.8
31,1,0,5,4,0.8
32,2,3,5,4,-0.8
33,3,2,5,4,0.8
34,4,5,5,4,-0.8
35,5,4,5,4,0.8
36,6,7,6,7,0.923
37,7,6,6,7,-0.923
38,8,9,6,7,0.923
39,9,8,6,7,-0.923
40,10,11,6,7,0.923
41,11,10,6,7,-0.923
42,6,7,7,6,-0.923
43,7,6,7,6,0.923
44,8,9,7,6,-0.923
45,9,8,7,6,0.923
46,10,11,7,6,-0.923
47,11,10,7,6,0.923
48,6,7,8,9,0.923
49,7,6,8,9,-0.923
50,8,9,8,9,0.923
51,9,8,8,9,-0.923
52,10,11,8,9,0.923
53,11,10,8,9,-0.923
54,6,7,9,8,-0.923
55,7,6,9,8,0.923
56,8,9,9,8,-0.923
57,9,8,9,8,0.923
58,10,11,9,8,-0.923
59,11,10,9,8,0.923
60,6,7,10,11,0.923
61,7,6,10,11,-0.923
62,8,9,10,11,0.923
63,9,8,10,11,-0.923
64,10,11,10,11,0.923
65,11,10,10,11,-0.923
66,6,7,11,10,-0.923
67,7,6,11,10,0.923
68,8,9,11,10,-0.923
69,9,8,11,10,0.923
70,10,11,11,10,-0.923
71,11,10,11,10,0.923
