,q_i1,q_i2,q_f1,q_f2,V_ffii
0,0.0,1.0,0.0,1.0,-12.79651
1,0.0,1.0,2.0,3.0,-6.564794
3,2.0,3.0,2.0,3.0,-6.384953
2,0.0,1.0,4.0,5.0,-6.526591
5,4.0,5.0,4.0,5.0,-6.351454
7,6.0,7.0,8.0,9.0,-6.451704
4,2.0,3.0,4.0,5.0,-4.241792
9,8.0,9.0,8.0,9.0,-6.254971
11,10.0,11.0,10.0,11.0,-6.221756
6,6.0,7.0,6.0,7.0,-12.59602
13,0.0,1.0,2.0,3.0,-6.564794
15,2.0,3.0,2.0,3.0,-6.384954
8,6.0,7.0,10.0,11.0,-6.414267
17,4.0,5.0,4.0,5.0,-6.351453
19,6.0,7.0,8.0,9.0,-6.451704
10,8.0,9.0,10.0,11.0,-4.155168
21,8.0,9.0,8.0,9.0,-6.25497
23,10.0,11.0,10.0,11.0,-6.221757
12,0.0,1.0,0.0,1.0,-12.79651
25,0.0,1.0,2.0,3.0,-6.564794
27,2.0,3.0,2.0,3.0,-6.384954
14,0.0,1.0,4.0,5.0,-6.52659
29,4.0,5.0,4.0,5.0,-6.351453
31,6.0,7.0,8.0,9.0,-6.451704
16,2.0,3.0,4.0,5.0,-4.241791
33,8.0,9.0,8.0,9.0,-6.254971
35,10.0,11.0,10.0,11.0,-6.221756
18,6.0,7.0,6.0,7.0,-12.59602
37,0.0,1.0,2.0,3.0,-6.564794
39,2.0,3.0,2.0,3.0,-6.384954
20,6.0,7.0,10.0,11.0,-6.414267
41,4.0,5.0,4.0,5.0,-6.351453
43,6.0,7.0,8.0,9.0,-6.451704
22,8.0,9.0,10.0,11.0,-4.155169
45,8.0,9.0,8.0,9.0,-6.254971
47,10.0,11.0,10.0,11.0,-6.221756
24,0.0,1.0,0.0,1.0,-12.79651
49,0.0,1.0,0.0,1.0,-12.79651
51,2.0,3.0,0.0,1.0,-6.564794
26,0.0,1.0,4.0,5.0,-6.526591
53,4.0,5.0,0.0,1.0,-6.526591
55,2.0,3.0,2.0,3.0,-6.384954
28,2.0,3.0,4.0,5.0,-4.241791
57,4.0,5.0,2.0,3.0,-4.241791
59,4.0,5.0,4.0,5.0,-6.351453
30,6.0,7.0,6.0,7.0,-12.59602
61,6.0,7.0,6.0,7.0,-12.59602
63,8.0,9.0,6.0,7.0,-6.451704
32,6.0,7.0,10.0,11.0,-6.414267
65,10.0,11.0,6.0,7.0,-6.414267
67,8.0,9.0,8.0,9.0,-6.254971
34,8.0,9.0,10.0,11.0,-4.155169
69,10.0,11.0,8.0,9.0,-4.155169
71,10.0,11.0,10.0,11.0,-6.221756
36,0.0,1.0,0.0,1.0,-12.79651
73,0.0,1.0,0.0,1.0,-12.79651
75,2.0,3.0,0.0,1.0,-6.564794
38,0.0,1.0,4.0,5.0,-6.526591
77,4.0,5.0,0.0,1.0,-6.526591
79,2.0,3.0,2.0,3.0,-6.384954
40,2.0,3.0,4.0,5.0,-4.241791
81,4.0,5.0,2.0,3.0,-4.241791
83,4.0,5.0,4.0,5.0,-6.351453
42,6.0,7.0,6.0,7.0,-12.59602
85,6.0,7.0,6.0,7.0,-12.59602
87,8.0,9.0,6.0,7.0,-6.451704
44,6.0,7.0,10.0,11.0,-6.414267
89,10.0,11.0,6.0,7.0,-6.414267
91,8.0,9.0,8.0,9.0,-6.254971
46,8.0,9.0,10.0,11.0,-4.155168
93,10.0,11.0,8.0,9.0,-4.155168
95,10.0,11.0,10.0,11.0,-6.221756
