,i,j,k,l,V_ijkl
0,1.0,0.0,0.0,1.0,-0.333
1,0.0,1.0,1.0,0.0,-0.333
2,2.0,3.0,1.0,0.0,-0.333
3,4.0,5.0,1.0,0.0,-0.333
4,1.0,0.0,2.0,3.0,-0.333
5,3.0,2.0,2.0,3.0,-0.333
6,2.0,3.0,3.0,2.0,-0.333
7,4.0,5.0,3.0,2.0,-0.333
8,1.0,0.0,4.0,5.0,-0.333
9,3.0,2.0,4.0,5.0,-0.333
10,5.0,4.0,4.0,5.0,-0.333
11,4.0,5.0,5.0,4.0,-0.333
12,7.0,6.0,6.0,7.0,-0.385
13,6.0,7.0,7.0,6.0,-0.385
14,8.0,9.0,7.0,6.0,-0.385
15,10.0,11.0,7.0,6.0,-0.385
16,7.0,6.0,8.0,9.0,-0.385
17,9.0,8.0,8.0,9.0,-0.385
18,8.0,9.0,9.0,8.0,-0.385
19,10.0,11.0,9.0,8.0,-0.385
20,7.0,6.0,10.0,11.0,-0.385
21,9.0,8.0,10.0,11.0,-0.385
22,11.0,10.0,10.0,11.0,-0.385
23,10.0,11.0,11.0,10.0,-0.385
