,q_i1,q_i2,q_f1,q_f2,V_ffii
0,0.0,1.0,0.0,1.0,12.81041
1,1.0,0.0,0.0,1.0,-12.81041
2,2.0,3.0,0.0,1.0,-6.50147
3,3.0,2.0,0.0,1.0,6.50147
4,4.0,5.0,0.0,1.0,6.50826
5,5.0,4.0,0.0,1.0,-6.50826
6,6.0,7.0,0.0,1.0,4.50338
7,7.0,6.0,0.0,1.0,-4.50338
8,7.0,6.0,1.0,0.0,4.50338
9,6.0,7.0,1.0,0.0,-4.50338
10,4.0,5.0,1.0,0.0,-6.50826
11,5.0,4.0,1.0,0.0,6.50826
12,2.0,3.0,1.0,0.0,6.50147
13,1.0,0.0,1.0,0.0,12.81041
14,0.0,1.0,1.0,0.0,-12.81041
15,3.0,2.0,1.0,0.0,-6.50147
16,0.0,1.0,2.0,3.0,-6.50147
17,1.0,0.0,2.0,3.0,6.50147
18,2.0,3.0,2.0,3.0,6.3375
19,3.0,2.0,2.0,3.0,-6.3375
20,4.0,5.0,2.0,3.0,-4.23535
21,5.0,4.0,2.0,3.0,4.23535
22,6.0,7.0,2.0,3.0,-4.08739
23,7.0,6.0,2.0,3.0,4.08739
24,6.0,7.0,3.0,2.0,4.08739
25,7.0,6.0,3.0,2.0,-4.08739
26,4.0,5.0,3.0,2.0,4.23535
27,5.0,4.0,3.0,2.0,-4.23535
28,2.0,3.0,3.0,2.0,-6.3375
29,1.0,0.0,3.0,2.0,-6.50147
30,0.0,1.0,3.0,2.0,6.50147
31,3.0,2.0,3.0,2.0,6.3375
32,0.0,1.0,4.0,5.0,6.50826
33,1.0,0.0,4.0,5.0,-6.50826
34,2.0,3.0,4.0,5.0,-4.23535
35,3.0,2.0,4.0,5.0,4.23535
36,4.0,5.0,4.0,5.0,6.32945
37,5.0,4.0,4.0,5.0,-6.32945
38,6.0,7.0,4.0,5.0,4.09568
39,7.0,6.0,4.0,5.0,-4.09568
40,7.0,6.0,5.0,4.0,4.09568
41,6.0,7.0,5.0,4.0,-4.09568
42,5.0,4.0,5.0,4.0,6.32945
43,4.0,5.0,5.0,4.0,-6.32945
44,3.0,2.0,5.0,4.0,-4.23535
45,1.0,0.0,5.0,4.0,6.50826
46,0.0,1.0,5.0,4.0,-6.50826
47,2.0,3.0,5.0,4.0,4.23535
48,0.0,1.0,6.0,7.0,4.50338
49,1.0,0.0,6.0,7.0,-4.50338
50,2.0,3.0,6.0,7.0,-4.08739
51,3.0,2.0,6.0,7.0,4.08739
52,4.0,5.0,6.0,7.0,4.09568
53,5.0,4.0,6.0,7.0,-4.09568
54,6.0,7.0,6.0,7.0,3.33847
55,7.0,6.0,6.0,7.0,-3.33847
56,5.0,4.0,7.0,6.0,4.09568
57,6.0,7.0,7.0,6.0,-3.33847
58,4.0,5.0,7.0,6.0,-4.09568
59,7.0,6.0,7.0,6.0,3.33847
60,2.0,3.0,7.0,6.0,4.08739
61,1.0,0.0,7.0,6.0,4.50338
62,0.0,1.0,7.0,6.0,-4.50338
63,3.0,2.0,7.0,6.0,-4.08739
64,8.0,9.0,8.0,9.0,12.60914
65,9.0,8.0,8.0,9.0,-12.60914
66,10.0,11.0,8.0,9.0,-6.38767
67,11.0,10.0,8.0,9.0,6.38767
68,12.0,13.0,8.0,9.0,6.39456
69,13.0,12.0,8.0,9.0,-6.39456
70,14.0,15.0,8.0,9.0,4.34702
71,15.0,14.0,8.0,9.0,-4.34702
72,15.0,14.0,9.0,8.0,4.34702
73,14.0,15.0,9.0,8.0,-4.34702
74,13.0,12.0,9.0,8.0,6.39456
75,12.0,13.0,9.0,8.0,-6.39456
76,11.0,10.0,9.0,8.0,-6.38767
77,9.0,8.0,9.0,8.0,12.60914
78,8.0,9.0,9.0,8.0,-12.60914
79,10.0,11.0,9.0,8.0,6.38767
80,8.0,9.0,10.0,11.0,-6.38767
81,9.0,8.0,10.0,11.0,6.38767
82,10.0,11.0,10.0,11.0,6.20872
83,11.0,10.0,10.0,11.0,-6.20872
84,12.0,13.0,10.0,11.0,-4.1492
85,13.0,12.0,10.0,11.0,4.1492
86,14.0,15.0,10.0,11.0,-3.94303
87,15.0,14.0,10.0,11.0,3.94303
88,15.0,14.0,11.0,10.0,-3.94303
89,14.0,15.0,11.0,10.0,3.94303
90,12.0,13.0,11.0,10.0,4.1492
91,13.0,12.0,11.0,10.0,-4.1492
92,10.0,11.0,11.0,10.0,-6.20872
93,9.0,8.0,11.0,10.0,-6.38767
94,8.0,9.0,11.0,10.0,6.38767
95,11.0,10.0,11.0,10.0,6.20872
