,q_i1,q_i2,q_f1,q_f2,V_ffii
0,0.0,1.0,0.0,1.0,6.3375
1,0.0,2.0,0.0,1.0,3.66856
2,0.0,3.0,0.0,1.0,2.91304
3,0.0,4.0,0.0,1.0,-4.52108
4,0.0,5.0,0.0,1.0,1.80493
5,0.0,1.0,0.0,2.0,3.66856
6,0.0,2.0,0.0,2.0,2.1236
7,0.0,3.0,0.0,2.0,1.68604
8,0.0,4.0,0.0,2.0,-2.61714
9,0.0,5.0,0.0,2.0,1.04469
10,0.0,1.0,0.0,3.0,2.91304
11,0.0,2.0,0.0,3.0,1.68604
12,0.0,3.0,0.0,3.0,2.11174
13,0.0,4.0,0.0,3.0,-2.07073
14,0.0,5.0,0.0,3.0,1.31242
15,0.0,1.0,0.0,4.0,-4.52108
16,0.0,2.0,0.0,4.0,-2.61714
17,0.0,3.0,0.0,4.0,-2.07073
18,0.0,4.0,0.0,4.0,3.26249
19,0.0,5.0,0.0,4.0,-1.2977
20,0.0,1.0,0.0,5.0,1.80493
21,0.0,2.0,0.0,5.0,1.04469
22,0.0,3.0,0.0,5.0,1.31242
23,0.0,4.0,0.0,5.0,-1.2977
24,0.0,5.0,0.0,5.0,0.82491
25,1.0,0.0,0.0,1.0,-6.3375
26,1.0,2.0,0.0,1.0,2.91304
27,1.0,3.0,0.0,1.0,-3.66856
28,1.0,4.0,0.0,1.0,1.80493
29,1.0,5.0,0.0,1.0,4.52108
30,1.0,0.0,0.0,2.0,-3.66856
31,1.0,2.0,0.0,2.0,1.68604
32,1.0,3.0,0.0,2.0,-2.1236
33,1.0,4.0,0.0,2.0,1.04469
34,1.0,5.0,0.0,2.0,2.61714
35,1.0,0.0,0.0,3.0,-2.91304
36,1.0,2.0,0.0,3.0,2.11174
37,1.0,3.0,0.0,3.0,-1.68604
38,1.0,4.0,0.0,3.0,1.31242
39,1.0,5.0,0.0,3.0,2.07073
40,1.0,0.0,0.0,4.0,4.52108
41,1.0,2.0,0.0,4.0,-2.07073
42,1.0,3.0,0.0,4.0,2.61714
43,1.0,4.0,0.0,4.0,-1.2977
44,1.0,5.0,0.0,4.0,-3.26249
45,1.0,0.0,0.0,5.0,-1.80493
46,1.0,2.0,0.0,5.0,1.31242
47,1.0,3.0,0.0,5.0,-1.04469
48,1.0,4.0,0.0,5.0,0.82491
49,1.0,5.0,0.0,5.0,1.2977
50,2.0,0.0,0.0,1.0,-3.66856
51,2.0,1.0,0.0,1.0,-2.91304
52,2.0,3.0,0.0,1.0,-4.23535
53,2.0,4.0,0.0,1.0,3.11541
54,2.0,5.0,0.0,1.0,1.30472
55,2.0,0.0,0.0,2.0,-2.1236
56,2.0,1.0,0.0,2.0,-1.68604
57,2.0,3.0,0.0,2.0,-2.45135
58,2.0,4.0,0.0,2.0,1.80319
59,2.0,5.0,0.0,2.0,0.75549
60,2.0,0.0,0.0,3.0,-1.68604
61,2.0,1.0,0.0,3.0,-2.11174
62,2.0,3.0,0.0,3.0,-3.42061
63,2.0,4.0,0.0,3.0,2.26482
64,2.0,5.0,0.0,3.0,-0.32048
65,2.0,0.0,0.0,4.0,2.61714
66,2.0,1.0,0.0,4.0,2.07073
67,2.0,3.0,0.0,4.0,3.02031
68,2.0,4.0,0.0,4.0,-2.24012
69,2.0,5.0,0.0,4.0,-0.94232
70,2.0,0.0,0.0,5.0,-1.04469
71,2.0,1.0,0.0,5.0,-1.31242
72,2.0,3.0,0.0,5.0,-2.12367
73,2.0,4.0,0.0,5.0,1.42367
74,2.0,5.0,0.0,5.0,-0.20337
75,3.0,0.0,0.0,1.0,-2.91304
76,3.0,1.0,0.0,1.0,3.66856
77,3.0,2.0,0.0,1.0,4.23535
78,3.0,4.0,0.0,1.0,-1.30472
79,3.0,5.0,0.0,1.0,3.11541
80,3.0,0.0,0.0,2.0,-1.68604
81,3.0,1.0,0.0,2.0,2.1236
82,3.0,2.0,0.0,2.0,2.45135
83,3.0,4.0,0.0,2.0,-0.75549
84,3.0,5.0,0.0,2.0,1.80319
