,q_i,q_f,epsilon
0,0.0,0.0,-26.45069
1,0.0,9.0,-26.44162
2,1.0,1.0,-26.45069
3,1.0,8.0,-26.44162
4,2.0,2.0,-11.20829
5,2.0,11.0,-11.18805
6,3.0,3.0,-11.20829
7,3.0,10.0,-11.18805
8,4.0,4.0,-10.99919
9,4.0,13.0,-10.99473
10,5.0,12.0,-10.99473
11,5.0,5.0,-10.99919
12,6.0,11.0,-0.18312
13,6.0,15.0,-3.97399
14,6.0,6.0,-3.99074
15,7.0,14.0,-3.97399
16,7.0,7.0,-3.99074
17,7.0,10.0,-0.18312
18,8.0,1.0,-28.1468
19,8.0,8.0,-28.15646
20,9.0,0.0,-28.1468
21,9.0,9.0,-28.15646
22,10.0,3.0,-13.14027
23,10.0,10.0,-13.16404
24,10.0,7.0,-0.60406
25,11.0,11.0,-13.16404
26,11.0,6.0,-0.60406
27,11.0,2.0,-13.14027
28,12.0,5.0,-12.22929
29,12.0,12.0,-12.23426
30,13.0,4.0,-12.22929
31,13.0,13.0,-12.23426
32,14.0,7.0,-5.37365
33,14.0,14.0,-5.3963
34,15.0,6.0,-5.37365
35,15.0,15.0,-5.3963
