V0 (1) = 800.000
#  i    sp levels      j     sp levels     k     sp levels     l     sp levels    isospin   V_pair
   1    -26.623512     2    -26.623512     2    -26.623512     1    -26.623512     1    -12.810409
   1    -26.623512     2    -26.623512     3    -11.317252     4    -11.317252     1     -6.501468
   1    -26.623512     2    -26.623512     5    -11.302825     6    -11.302825     1     -6.508258
   1    -26.623512     2    -26.623512     8     -4.228309     7     -4.228309     1     -4.503377
   2    -26.623512     1    -26.623512     1    -26.623512     2    -26.623512     1    -12.810409
   2    -26.623512     1    -26.623512     4    -11.317252     3    -11.317252     1     -6.501468
   2    -26.623512     1    -26.623512     6    -11.302825     5    -11.302825     1     -6.508258
   2    -26.623512     1    -26.623512     7     -4.228309     8     -4.228309     1     -4.503377
   3    -11.317252     4    -11.317252     1    -26.623512     2    -26.623512     1     -6.501468
   3    -11.317252     4    -11.317252     4    -11.317252     3    -11.317252     1     -6.337498
   3    -11.317252     4    -11.317252     6    -11.302825     5    -11.302825     1     -4.235348
   3    -11.317252     4    -11.317252     7     -4.228309     8     -4.228309     1     -4.087395
   4    -11.317252     3    -11.317252     2    -26.623512     1    -26.623512     1     -6.501468
   4    -11.317252     3    -11.317252     3    -11.317252     4    -11.317252     1     -6.337498
   4    -11.317252     3    -11.317252     5    -11.302825     6    -11.302825     1     -4.235348
   4    -11.317252     3    -11.317252     8     -4.228309     7     -4.228309     1     -4.087395
   5    -11.302825     6    -11.302825     1    -26.623512     2    -26.623512     1     -6.508258
   5    -11.302825     6    -11.302825     4    -11.317252     3    -11.317252     1     -4.235348
   5    -11.302825     6    -11.302825     6    -11.302825     5    -11.302825     1     -6.329450
   5    -11.302825     6    -11.302825     7     -4.228309     8     -4.228309     1     -4.095678
   6    -11.302825     5    -11.302825     2    -26.623512     1    -26.623512     1     -6.508258
   6    -11.302825     5    -11.302825     3    -11.317252     4    -11.317252     1     -4.235348
   6    -11.302825     5    -11.302825     5    -11.302825     6    -11.302825     1     -6.329450
   6    -11.302825     5    -11.302825     8     -4.228309     7     -4.228309     1     -4.095678
   7     -4.228309     8     -4.228309     2    -26.623512     1    -26.623512     1     -4.503377
   7     -4.228309     8     -4.228309     3    -11.317252     4    -11.317252     1     -4.087395
   7     -4.228309     8     -4.228309     5    -11.302825     6    -11.302825     1     -4.095678
   7     -4.228309     8     -4.228309     8     -4.228309     7     -4.228309     1     -3.338471
   8     -4.228309     7     -4.228309     1    -26.623512     2    -26.623512     1     -4.503377
   8     -4.228309     7     -4.228309     4    -11.317252     3    -11.317252     1     -4.087395
   8     -4.228309     7     -4.228309     6    -11.302825     5    -11.302825     1     -4.095678
   8     -4.228309     7     -4.228309     7     -4.228309     8     -4.228309     1     -3.338471
V0 (2) = 800.000
   1    -24.643786     2    -24.643786     2    -24.643786     1    -24.643786     2    -12.609142
   1    -24.643786     2    -24.643786     4     -9.481487     3     -9.481487     2     -6.387665
   1    -24.643786     2    -24.643786     5     -9.467108     6     -9.467108     2     -6.394556
   1    -24.643786     2    -24.643786     8     -2.555813     7     -2.555813     2     -4.347019
   2    -24.643786     1    -24.643786     1    -24.643786     2    -24.643786     2    -12.609142
   2    -24.643786     1    -24.643786     3     -9.481487     4     -9.481487     2     -6.387665
   2    -24.643786     1    -24.643786     6     -9.467108     5     -9.467108     2     -6.394556
   2    -24.643786     1    -24.643786     7     -2.555813     8     -2.555813     2     -4.347019
   3     -9.481487     4     -9.481487     2    -24.643786     1    -24.643786     2     -6.387665
   3     -9.481487     4     -9.481487     4     -9.481487     3     -9.481487     2     -6.208721
   3     -9.481487     4     -9.481487     5     -9.467108     6     -9.467108     2     -4.149201
   3     -9.481487     4     -9.481487     8     -2.555813     7     -2.555813     2     -3.943026
   4     -9.481487     3     -9.481487     1    -24.643786     2    -24.643786     2     -6.387665
   4     -9.481487     3     -9.481487     3     -9.481487     4     -9.481487     2     -6.208721
   4     -9.481487     3     -9.481487     6     -9.467108     5     -9.467108     2     -4.149201
   4     -9.481487     3     -9.481487     7     -2.555813     8     -2.555813     2     -3.943026
   5     -9.467108     6     -9.467108     1    -24.643786     2    -24.643786     2     -6.394556
   5     -9.467108     6     -9.467108     3     -9.481487     4     -9.481487     2     -4.149201
   5     -9.467108     6     -9.467108     6     -9.467108     5     -9.467108     2     -6.200484
   5     -9.467108     6     -9.467108     7     -2.555813     8     -2.555813     2     -3.950519
   6     -9.467108     5     -9.467108     2    -24.643786     1    -24.643786     2     -6.394556
   6     -9.467108     5     -9.467108     4     -9.481487     3     -9.481487     2     -4.149201
   6     -9.467108     5     -9.467108     5     -9.467108     6     -9.467108     2     -6.200484
   6     -9.467108     5     -9.467108     8     -2.555813     7     -2.555813     2     -3.950519
   7     -2.555813     8     -2.555813     2    -24.643786     1    -24.643786     2     -4.347019
   7     -2.555813     8     -2.555813     4     -9.481487     3     -9.481487     2     -3.943026
   7     -2.555813     8     -2.555813     5     -9.467108     6     -9.467108     2     -3.950519
   7     -2.555813     8     -2.555813     8     -2.555813     7     -2.555813     2     -3.179170
   8     -2.555813     7     -2.555813     1    -24.643786     2    -24.643786     2     -4.347019
   8     -2.555813     7     -2.555813     3     -9.481487     4     -9.481487     2     -3.943026
   8     -2.555813     7     -2.555813     6     -9.467108     5     -9.467108     2     -3.950519
   8     -2.555813     7     -2.555813     7     -2.555813     8     -2.555813     2     -3.179170
